1,Jon Rahm,-12,65,69,73,69,276
T2,Phil Mickelson,-8,71,69,75,65,280
T2,Brooks Koepka,-8,65,67,73,75,280
T4,Jordan Spieth,-7,69,70,76,66,281
T4,Patrick Reed,-7,71,70,72,68,281
T4,Russell Henley,-7,73,67,71,70,281
T7,Cameron Young,-6,67,72,75,68,282
T7,Viktor Hovland,-6,65,73,70,74,282
9,Sahith Theegala,-5,73,70,73,67,283
T10,Matt Fitzpatrick,-4,70,72,72,70,284
T10,Scottie Scheffler,-4,68,75,71,70,284
T10,Xander Schauffele,-4,68,74,71,71,284
T10,Collin Morikawa,-4,69,69,74,72,284
T14,Gary Woodland,-3,68,72,73,72,285
T14,Patrick Cantlay,-3,71,71,68,75,285
T16,Tom Kim,-2,70,72,74,70,286
T16,Sungjae Im,-2,71,76,67,72,286
T16,Joaquin Niemann,-2,71,69,74,72,286
T16,Shane Lowry,-2,68,72,73,73,286
T16,Justin Rose,-2,69,71,73,73,286
T16,Sam Bennett (a),-2,68,68,76,74,286
T16,Hideki Matsuyama,-2,71,70,70,75,286
T23,Keegan Bradley,-1,70,72,74,71,287
T23,Chris Kirk,-1,70,74,72,71,287
T23,K.H. Lee,-1,74,67,74,72,287
T26,Tony Finau,E,69,74,73,72,288
T26,Scott Stallings,E,70,77,69,72,288
T26,Ryan Fox,E,70,71,74,73,288
T29,Si Woo Kim,1,73,72,72,72,289
T29,Sam Burns,1,68,71,78,72,289
T29,Harold Varner III,1,72,71,76,70,289
T29,Mackenzie Hughes,1,76,69,74,70,289
33,Tommy Fleetwood,3,72,71,74,74,291
T34,Tyrrell Hatton,4,71,73,72,76,292
T34,Cameron Smith,4,70,72,75,75,292
T34,Zach Johnson,4,75,70,74,73,292
T34,Talor Gooch,4,72,74,73,73,292
T34,J.T. Poston,4,74,72,76,70,292
T39,Taylor Moore,5,73,72,70,78,293
T39,Abraham Ancer,5,72,71,74,76,293
T39,Adam Scott,5,68,74,77,74,293
T39,Jason Day,5,67,72,74,80,293
T43,Max Homa,6,71,73,72,78,294
T43,Harris English,6,71,71,77,75,294
T43,Mito Pereira,6,74,70,77,73,294
T46,Sepp Straka,7,70,73,74,78,295
T46,Séamus Power,7,73,72,73,77,295
T48,Thomas Pieters,8,74,73,72,77,296
T48,Dustin Johnson,8,71,72,78,75,296
T50,Charl Schwartzel,9,74,73,73,77,297
T50,Fred Couples,9,71,74,76,76,297
52,Billy Horschel,12,73,74,74,79,300
53,Keith Mitchell,14,75,71,77,79,302
-,Mike Weir,CUT,72,76,,,148
-,Justin Thomas,CUT,70,78,,,148
-,Francesco Molinari,CUT,72,76,,,148
-,Bryson DeChambeau,CUT,74,74,,,148
-,Tom Hoge,CUT,74,74,,,148
-,Kevin Kisner,CUT,72,77,,,149
-,Adrian Meronk,CUT,73,76,,,149
-,Bernhard Langer,CUT,75,74,,,149
-,Ben Carr (a),CUT,75,74,,,149
-,Rory McIlroy,CUT,72,77,,,149
-,Vijay Singh,CUT,75,75,,,150
-,Min Woo Lee,CUT,75,75,,,150
-,Kazuki Higa,CUT,76,74,,,150
-,Cameron Champ,CUT,76,74,,,150
-,Danny Willett,CUT,75,75,,,150
-,Matthew McClean (a),CUT,77,74,,,151
-,Sergio Garcia,CUT,74,77,,,151
-,Mateo Fernandez de Oliveira (a),CUT,76,75,,,151
-,Aldrich Potgieter (a),CUT,77,74,,,151
-,Brian Harman,CUT,77,74,,,151
-,Jason Kokrak,CUT,73,79,,,152
-,Harrison Crowe (a),CUT,75,77,,,152
-,Kurt Kitayama,CUT,75,77,,,152
-,Corey Conners,CUT,73,79,,,152
-,Alex Noren,CUT,78,75,,,153
-,Bubba Watson,CUT,77,76,,,153
-,Gordon Sargent (a),CUT,77,76,,,153
-,José María Olazábal,CUT,77,77,,,154
-,Adam Svensson,CUT,75,80,,,155
-,Larry Mize,CUT,79,80,,,159
-,Sandy Lyle,CUT,81,83,,,164
-,Kevin Na,WD,,,,,
-,Louis Oosthuizen,WD,76,,,,76
-,Tiger Woods,WD,74,73,,,147
-,Will Zalatoris,WD,,,,,
